,mean_abs_shap
Sodium,0.7945490567549987
Folic_acid,0.3784054768908997
Carbohydrate,0.24922180603081914
Energy,0.22770190188420594
Potassium,0.19222172618396888
Sugars__total,0.18685129578808302
Copper,0.17225221629458878
Thiamin,0.16309965393324732
Water,0.16113429753923492
Iron,0.1476019700430966
Niacin,0.1441313280788309
Fiber__total_dietary,0.1420504946406089
18_2,0.13924901363791148
Magnesium,0.13619065606038913
Protein,0.1336420703831794
Vitamin_C,0.11464759088986325
Selenium,0.1132794816709974
Total_Fat,0.09202992656264146
Vitamin_B_12,0.08926161808884012
18_0,0.08794843897172508
Riboflavin,0.07883612571320958
Vitamin_K__phylloquinone_,0.0772327136587922
Carotene__beta,0.07556532686919405
Vitamin_E__alpha_tocopherol_,0.07169949270161452
Calcium,0.07138578284727666
Vitamin_B_12__added,0.06973727874567567
Choline__total,0.06875000544374513
Vitamin_B_6,0.06683255855039566
Retinol,0.06523531414546827
Phosphorus,0.060377704045396
